922|610|1349|chrome|1
534|938|1007|chrome|1
679|82|1920|chrome|1
749|523|1349|firefox|1
773|449|1349|firefox|1
950|597|1263|chrome|1
841|422|1579|chrome|1
845|676|1349|chrome|1
857|461|1579|chrome|1
1050|947|1579|chrome|1
476|75|1920|chrome|3
756|365|1349|chrome|1
762|451|1349|chrome|1
753|513|1349|chrome|1
743|585|1349|chrome|1
750|644|1349|chrome|1
748|725|1349|chrome|1
748|720|1349|chrome|1
748|720|1349|chrome|1
1123|690|1920|chrome|1
763|432|1349|chrome|1
1084|298|1349|chrome|1
487|909|1349|chrome|1
247|32|1349|chrome|1
1609|561|1920|chrome|1
1174|690|1920|chrome|1
916|24|1920|chrome|1
984|653|1349|chrome|1
917|223|1349|chrome|1
705|364|1275|chrome|1
304|211|1275|chrome|1
859|10|1349|chrome|1
914|179|1349|chrome|1
919|87|1349|chrome|1
1096|256|1349|chrome|1
709|346|1275|chrome|1
1136|691|1920|chrome|1
957|600|1263|chrome|1
1060|621|1263|chrome|1
943|607|1263|chrome|1
1037|598|1263|chrome|1
718|527|1280|firefox|1
1310|693|1920|chrome|1
715|305|1280|firefox|1
1481|677|1920|chrome|1
1329|746|1920|chrome|1
1038|469|1920|chrome|1
1128|465|1920|chrome|1
1582|620|1920|chrome|1
1348|899|1920|chrome|1
1171|279|1920|chrome|1
1564|352|1920|chrome|3
1167|279|1920|chrome|1
900|581|1349|chrome|1
970|617|1349|chrome|1
255|458|1920|chrome|1
1218|36|1920|chrome|1
1171|279|1920|chrome|1
843|173|1920|chrome|1
282|247|1920|chrome|1
1221|38|1920|chrome|1
1147|277|1920|chrome|1
1122|318|1920|chrome|1
1120|318|1920|chrome|1
929|636|1349|chrome|1
532|459|1349|chrome|1
1173|278|1920|chrome|1
539|496|1349|chrome|1
888|502|1349|chrome|1
660|540|1349|chrome|1
871|537|1349|chrome|1
701|467|1349|chrome|1
728|464|1349|chrome|1
856|706|1349|chrome|1
1142|733|1920|chrome|1
655|54|1920|chrome|1
315|210|360|chrome|1
306|210|360|chrome|1
308|212|360|chrome|1
303|218|360|chrome|1
317|407|360|chrome|1
304|341|360|chrome|1
185|322|360|chrome|1
318|218|360|chrome|1
324|219|360|chrome|1
324|208|360|chrome|3
247|108|360|chrome|1
8|1141|360|chrome|1
326|216|360|chrome|1
319|215|360|chrome|1
747|603|1349|chrome|1
745|369|1349|chrome|1
285|1044|360|chrome|1
745|310|1349|chrome|1
759|441|1349|chrome|1
734|529|1343|chrome|1
739|512|1343|chrome|1
232|798|360|chrome|1
756|435|1349|chrome|1
226|45|1349|chrome|1
324|213|360|chrome|1
310|218|360|chrome|1
307|218|360|chrome|1
312|218|360|chrome|3
310|229|360|chrome|1
321|219|360|chrome|1
755|421|1343|chrome|1
349|15|360|chrome|1
271|67|360|chrome|1
1051|545|1343|chrome|1
553|18|1349|chrome|1
312|387|360|chrome|1
308|385|360|chrome|1
301|615|360|chrome|1
743|351|1351|chrome|1
116|655|360|chrome|1
756|309|1351|chrome|1
746|436|1349|chrome|1
746|381|1349|chrome|1
93|553|1349|chrome|2
747|582|1349|chrome|1
336|180|360|chrome|1
745|667|1349|chrome|1
317|230|360|chrome|1
751|571|1349|chrome|1
329|254|360|chrome|1
759|443|1349|chrome|1
103|559|1349|chrome|2
892|476|1349|chrome|2
892|476|1349|chrome|2
717|654|1349|chrome|1
96|1089|1349|chrome|2
240|58|1349|chrome|1
739|293|1343|chrome|1
1048|520|1343|chrome|1
753|380|1349|chrome|1
751|421|1349|chrome|1
745|534|1349|chrome|1
735|588|1349|chrome|1
747|667|1349|chrome|1
760|693|1349|chrome|1
897|522|1007|chrome|1
985|375|1829|chrome|1
742|719|1349|chrome|1
743|718|1349|chrome|1
595|371|1007|chrome|1
758|309|1349|chrome|1
751|243|1349|chrome|1
747|245|1349|chrome|1
568|420|1007|chrome|1
568|512|1007|chrome|1
568|594|1007|chrome|1
578|638|1007|chrome|1
791|13|1007|chrome|1
1027|359|1903|chrome|1
690|420|1240|safari|1
887|520|1007|chrome|1
548|84|1240|safari|1
589|378|1007|chrome|1
581|508|1007|chrome|1
567|656|1007|chrome|1
577|715|1007|chrome|1
573|672|1007|chrome|1
650|1111|1007|chrome|1
651|652|1007|chrome|1
434|1138|1007|chrome|3
911|478|1349|chrome|1
892|490|1349|chrome|3
191|19|1007|chrome|1
195|177|1007|chrome|3
15|345|1007|chrome|1
689|663|1007|chrome|1
728|371|1349|chrome|1
732|436|1349|chrome|1
755|525|1349|chrome|1
752|574|1349|chrome|1
751|640|1349|chrome|1
