1293|495|1349|chrome|1
1334|1014|1349|chrome|1
849|485|1349|firefox|3
236|164|320|chrome|1
681|1011|1349|firefox|3
491|1193|1349|chrome|1
641|1196|1349|firefox|1
1240|151|1349|chrome|1
1235|343|1349|chrome|1
512|770|1349|firefox|3
771|1192|1349|chrome|1
1215|121|1349|chrome|1
692|1199|1349|firefox|1
614|1197|1349|chrome|1
846|529|1349|firefox|3
723|1201|1349|firefox|1
1070|298|1349|chrome|3
1194|249|1349|chrome|1
762|1202|1349|chrome|1
1228|78|1349|chrome|1
770|1196|1349|chrome|1
1169|253|1349|chrome|1
772|1187|1349|chrome|1
1214|448|1349|chrome|1
225|986|1349|chrome|3
235|1025|1349|chrome|3
262|1132|1349|chrome|3
251|1197|1349|chrome|1
480|1197|1349|chrome|1
239|1004|1349|chrome|1
266|1191|1349|chrome|1
101|185|1349|chrome|1
243|964|1343|chrome|1
192|727|1229|chrome|1
644|305|1229|chrome|3
492|801|1229|chrome|3
420|1195|1229|chrome|1
468|594|1229|chrome|3
508|1198|1229|chrome|1
376|283|1124|firefox|1
547|1201|1229|chrome|1
867|513|1263|chrome|3
585|1205|1229|chrome|1
619|1193|1229|chrome|1
693|851|1263|chrome|3
449|1200|1263|chrome|1
526|1201|1263|chrome|1
368|1193|1124|firefox|1
561|1196|1263|chrome|1
457|1192|1124|firefox|1
609|1188|1263|chrome|1
643|1191|1263|chrome|1
493|1201|1124|firefox|1
658|801|1263|chrome|3
823|829|1263|chrome|3
689|1192|1263|chrome|1
528|1201|1124|firefox|1
804|757|1263|chrome|1
679|1183|1349|chrome|1
253|1086|1349|chrome|1
745|18|1124|firefox|1
745|18|1124|firefox|1
745|18|1124|firefox|1
491|1191|1349|chrome|1
725|306|1349|chrome|3
573|1198|1349|chrome|1
486|361|1349|chrome|3
603|1203|1349|chrome|1
648|1203|1349|chrome|3
648|1203|1349|chrome|1
692|777|1349|chrome|3
1195|808|1349|chrome|1
688|1193|1349|chrome|1
541|289|1349|chrome|3
528|538|1349|chrome|3
724|1200|1349|chrome|1
539|78|1349|chrome|1
482|1196|1349|chrome|1
604|84|1349|chrome|1
1214|494|1349|chrome|1
487|1201|1349|chrome|1
569|1191|1349|chrome|1
604|1200|1349|chrome|1
646|1188|1349|chrome|1
877|359|1349|chrome|3
694|1196|1349|chrome|1
733|1199|1349|chrome|1
12|497|1349|chrome|1
208|1010|1263|chrome|1
447|1186|1263|chrome|1
515|1201|1263|chrome|1
558|1199|1263|chrome|1
603|1193|1263|chrome|1
176|964|1263|chrome|1
431|1191|1240|safari|1
1043|348|1349|firefox|3
491|1195|1349|firefox|1
490|1194|1349|chrome|1
567|1202|1349|chrome|1
399|84|1349|chrome|1
1257|482|1349|firefox|1
645|768|1349|firefox|1
482|1203|1349|firefox|1
1030|553|1349|firefox|3
709|782|1349|firefox|3
605|1195|1349|firefox|1
650|1194|1349|firefox|1
1041|574|1349|firefox|3
731|1204|1349|firefox|1
480|1204|1349|firefox|1
1040|307|1349|firefox|1
498|1202|1349|firefox|1
38|644|1349|firefox|1
494|1190|1349|chrome|1
569|1201|1349|chrome|1
605|1194|1349|chrome|1
639|1190|1349|chrome|1
693|1192|1349|chrome|1
721|1198|1349|chrome|1
725|1192|1351|chrome|1
738|1201|1351|chrome|1
701|1030|1351|chrome|1
446|284|1263|chrome|1
283|721|1263|chrome|1
401|84|1263|chrome|1
438|1204|1263|chrome|1
536|1199|1263|chrome|1
840|559|1263|chrome|3
0|526|1263|chrome|1
566|1201|1263|chrome|1
606|1209|1263|chrome|1
606|1200|1263|chrome|1
933|14|1263|chrome|1
646|1200|1263|chrome|1
680|1200|1263|chrome|1
555|279|1349|chrome|2
711|797|1349|chrome|1
840|557|1260|chrome|1
435|1192|1260|chrome|1
180|722|1260|chrome|1
299|328|1260|chrome|1
694|279|1260|chrome|1
346|331|1260|chrome|1
311|326|1260|chrome|1
505|80|1260|chrome|1
178|730|1260|chrome|1
241|814|1260|chrome|1
428|1196|1260|chrome|1
229|802|1260|chrome|1
227|878|1260|chrome|1
354|894|1260|chrome|1
323|885|1260|chrome|1
510|79|1260|chrome|1
310|325|1260|chrome|1
497|302|1260|chrome|1
1056|15|1583|unknown|1
753|1191|1899|chrome|1
486|1198|1349|chrome|1
322|54|1349|chrome|1
604|86|1349|chrome|1
532|600|1424|msie|1
532|1192|1424|msie|1
500|600|1424|msie|1
374|255|1079|chrome|1
273|1068|1349|chrome|1
294|1193|1423|chrome|2
279|962|1423|chrome|1
343|987|1576|firefox|1
754|344|1423|chrome|2
523|1199|1423|chrome|1
275|1002|1423|chrome|1
524|1204|1421|safari|1
301|397|1421|safari|1
531|1204|1421|safari|1
333|422|1421|safari|1
514|1187|1421|safari|1
515|944|1421|safari|1
929|334|1421|safari|1
352|444|1421|safari|1
913|567|1421|safari|1
