484|356|1007|chrome|1
244|304|1007|chrome|1
413|298|1007|chrome|1
444|369|1007|chrome|1
101|350|1007|chrome|1
551|361|1007|chrome|1
187|351|1007|chrome|1
119|352|1007|chrome|1
183|355|1007|chrome|1
521|350|1007|chrome|1
268|493|1007|chrome|1
572|505|1007|chrome|1
699|2|1007|chrome|1
691|89|1007|chrome|1
550|33|1920|chrome|3
1208|718|1920|chrome|1
780|766|1920|chrome|3
685|720|1920|chrome|3
1081|54|1920|chrome|1
69|32|320|safari|1
267|424|320|safari|1
853|578|1287|chrome|1
454|529|1287|chrome|1
733|1137|1287|chrome|1
190|267|1263|chrome|1
294|365|1263|chrome|1
315|344|1263|chrome|3
406|347|1263|chrome|3
528|348|1263|chrome|3
357|342|1263|chrome|1
513|12|1263|chrome|3
408|343|1263|chrome|1
357|493|1263|chrome|1
680|504|1263|chrome|1
379|300|1263|chrome|1
746|1197|1349|chrome|1
426|270|1349|chrome|1
405|80|1349|chrome|1
225|190|320|safari|1
190|214|320|safari|1
239|258|320|safari|1
223|285|320|safari|1
228|393|320|safari|1
237|496|320|safari|1
278|579|320|safari|1
424|1074|1349|chrome|1
1133|58|1903|chrome|1
662|52|1903|chrome|1
