657|54|1920|chrome|1
262|375|1263|chrome|1
624|308|1899|chrome|1
659|389|1349|chrome|1
993|25|1349|chrome|1
253|70|1349|chrome|1
608|369|1920|chrome|1
280|362|1263|chrome|1
691|331|1280|firefox|1
102|2262|360|chrome|1
141|2217|360|chrome|1
313|686|1405|chrome|3
694|642|1405|chrome|1
140|269|360|chrome|1
1076|647|1351|chrome|2
274|382|1351|chrome|2
228|69|1351|chrome|1
540|383|1349|chrome|1
176|405|1007|chrome|1
756|688|1829|chrome|1
894|345|1829|chrome|1
830|20|1007|chrome|1
909|54|1007|chrome|1
964|14|1007|chrome|1
161|393|1007|chrome|1
245|334|1349|chrome|1
264|43|1349|chrome|1
124|345|360|chrome|1
227|52|1349|chrome|1
121|597|360|chrome|1
499|77|1423|chrome|1
318|361|1280|safari|1
336|697|1423|chrome|1
399|666|1423|chrome|1
518|642|1423|chrome|1
315|984|1423|chrome|1
301|365|1280|safari|1
327|1789|1423|chrome|1
1009|20|1423|chrome|1
521|83|1423|chrome|1
1130|874|1423|chrome|1
1109|5779|1423|chrome|3
305|373|1349|chrome|3
47|367|1349|chrome|1
1037|359|1349|chrome|3
853|348|1349|chrome|1
907|376|1903|chrome|2
1306|402|1903|chrome|1
298|382|1349|chrome|1
568|427|1899|chrome|1
255|583|1007|firefox|1
547|340|1903|chrome|2
650|52|1903|chrome|1
277|395|1214|safari|1
637|714|1214|safari|1
910|26|1214|safari|1
1064|14|1214|safari|1
259|676|1214|safari|1
894|18|1214|safari|1
618|647|1214|safari|1
330|374|1339|chrome|1
318|358|1423|chrome|1
987|23|1339|chrome|1
985|18|1339|chrome|1
445|427|1339|chrome|1
971|431|1899|chrome|1
123|243|360|chrome|1
1159|374|1583|chrome|1
820|357|1265|firefox|1
1169|635|1583|chrome|3
1182|671|1583|chrome|1
616|594|1583|chrome|1
432|379|1583|chrome|1
244|341|1265|firefox|1
981|27|1349|chrome|1
794|20|1007|chrome|1
802|50|1007|chrome|1
964|21|1007|chrome|1
883|607|1349|chrome|1
123|373|1007|chrome|1
468|375|1349|chrome|1
152|309|1007|chrome|1
64|28|320|safari|1
217|85|320|safari|1
242|209|320|safari|1
465|341|1263|chrome|1
469|641|1349|chrome|1
851|673|1263|chrome|1
261|267|320|safari|1
400|617|1349|chrome|1
496|84|1349|chrome|1
697|18|1442|safari|1
253|905|1349|chrome|3
420|894|1583|chrome|1
789|16|990|chrome|1
92|223|1583|chrome|1
425|684|1583|chrome|2
935|706|1583|chrome|2
380|390|1349|chrome|1
694|336|1349|chrome|1
257|844|1349|chrome|3
457|396|1349|chrome|3
899|395|1349|chrome|3
519|618|1349|chrome|3
853|612|1349|chrome|3
331|841|1349|chrome|3
486|136|1349|chrome|1
319|231|768|safari|1
507|433|1349|chrome|1
