1031|457|1349|chrome|1
528|18|1263|chrome|1
780|980|1263|chrome|1
1108|396|1349|chrome|1
378|255|1349|chrome|1
1169|445|1583|chrome|1
1171|704|1665|safari|1
969|18|1583|chrome|1
1153|310|1583|chrome|1
970|18|1583|chrome|1
795|21|1583|chrome|1
1061|445|1349|chrome|1
1219|329|1346|chrome|1
861|19|1346|chrome|1
654|80|1346|chrome|1
941|724|1349|chrome|1
852|448|1007|chrome|1
529|56|1903|chrome|1
855|210|1346|chrome|1
257|31|320|chrome|1
222|280|320|chrome|1
800|285|1349|chrome|1
736|18|1349|chrome|1
